season,season_type,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,source
2025-26,Regular Season,,Nikola Vučević,,,,10.0,,,,313.0,,,,,,,,,,,,0.624,20.8,,,basketball-reference
2025-26,Regular Season,,Quentin Grimes,,,,10.0,,,,310.0,,,,,,,,,,,,0.632,22.2,,,basketball-reference
2025-26,Regular Season,,Bub Carrington,,,,11.0,,,,309.0,,,,,,,,,,,,0.451,14.5,,,basketball-reference
2025-26,Regular Season,,Gary Trent Jr.,,,,11.0,,,,309.0,,,,,,,,,,,,0.544,16.1,,,basketball-reference
2025-26,Regular Season,,Jimmy Butler,,,,10.0,,,,309.0,,,,,,,,,,,,0.631,22.6,,,basketball-reference
2025-26,Regular Season,,Ajay Mitchell,,,,11.0,,,,308.0,,,,,,,,,,,,0.575,25.6,,,basketball-reference
2025-26,Regular Season,,Mikal Bridges,,,,9.0,,,,308.0,,,,,,,,,,,,0.692,15.1,,,basketball-reference
2025-26,Regular Season,,Josh Giddey,,,,9.0,,,,307.0,,,,,,,,,,,,0.56,27.7,,,basketball-reference
2025-26,Regular Season,,Ja Morant,,,,10.0,,,,306.0,,,,,,,,,,,,0.468,32.7,,,basketball-reference
2025-26,Regular Season,,Nikola Jokić,,,,9.0,,,,306.0,,,,,,,,,,,,0.733,25.2,,,basketball-reference
2025-26,Regular Season,,Deandre Ayton,,,,10.0,,,,305.0,,,,,,,,,,,,0.677,20.5,,,basketball-reference
2025-26,Regular Season,,A.J. Green,,,,11.0,,,,304.0,,,,,,,,,,,,0.72,13.1,,,basketball-reference
2025-26,Regular Season,,Kyshawn George,,,,10.0,,,,304.0,,,,,,,,,,,,0.633,21.2,,,basketball-reference
2025-26,Regular Season,,Cason Wallace,,,,10.0,,,,303.0,,,,,,,,,,,,0.561,13.1,,,basketball-reference
2025-26,Regular Season,,Harrison Barnes,,,,10.0,,,,302.0,,,,,,,,,,,,0.758,13.2,,,basketball-reference
2025-26,Regular Season,,Jarace Walker,,,,10.0,,,,301.0,,,,,,,,,,,,0.434,19.9,,,basketball-reference
2025-26,Regular Season,,Herbert Jones,,,,10.0,,,,300.0,,,,,,,,,,,,0.568,14.8,,,basketball-reference
2025-26,Regular Season,,Jalen Brunson,,,,9.0,,,,300.0,,,,,,,,,,,,0.579,32.1,,,basketball-reference
2025-26,Regular Season,,OG Anunoby,,,,9.0,,,,299.0,,,,,,,,,,,,0.625,20.1,,,basketball-reference
2025-26,Regular Season,,Tre Jones,,,,10.0,,,,298.0,,,,,,,,,,,,0.612,17.8,,,basketball-reference
2025-26,Regular Season,,Ivica Zubac,,,,10.0,,,,296.0,,,,,,,,,,,,0.638,20.7,,,basketball-reference
2025-26,Regular Season,,Anthony Black,,,,11.0,,,,294.0,,,,,,,,,,,,0.544,18.9,,,basketball-reference
2025-26,Regular Season,,Austin Reaves,,,,8.0,,,,294.0,,,,,,,,,,,,0.642,31.2,,,basketball-reference
2025-26,Regular Season,,Cedric Coward,,,,11.0,,,,293.0,,,,,,,,,,,,0.68,18.5,,,basketball-reference
2025-26,Regular Season,,Karl-Anthony Towns,,,,9.0,,,,293.0,,,,,,,,,,,,0.586,26.0,,,basketball-reference
2025-26,Regular Season,,Ausar Thompson,,,,10.0,,,,291.0,,,,,,,,,,,,0.526,20.4,,,basketball-reference
2025-26,Regular Season,,Jalen Johnson,,,,9.0,,,,291.0,,,,,,,,,,,,0.621,24.7,,,basketball-reference
2025-26,Regular Season,,Julian Champagnie,,,,10.0,,,,288.0,,,,,,,,,,,,0.563,14.6,,,basketball-reference
2025-26,Regular Season,,Jerami Grant,,,,10.0,,,,287.0,,,,,,,,,,,,0.655,23.1,,,basketball-reference
2025-26,Regular Season,,Draymond Green,,,,10.0,,,,287.0,,,,,,,,,,,,0.611,14.5,,,basketball-reference
2025-26,Regular Season,,Jaylon Tyson,,,,11.0,,,,284.0,,,,,,,,,,,,0.637,15.2,,,basketball-reference
2025-26,Regular Season,,Michael Porter Jr.,,,,9.0,,,,284.0,,,,,,,,,,,,0.591,29.5,,,basketball-reference
2025-26,Regular Season,,Anfernee Simons,,,,11.0,,,,283.0,,,,,,,,,,,,0.581,23.1,,,basketball-reference
2025-26,Regular Season,,Aaron Nesmith,,,,9.0,,,,283.0,,,,,,,,,,,,0.516,20.8,,,basketball-reference
2025-26,Regular Season,,Tre Johnson,,,,11.0,,,,282.0,,,,,,,,,,,,0.552,19.9,,,basketball-reference
2025-26,Regular Season,,Nic Claxton,,,,10.0,,,,282.0,,,,,,,,,,,,0.657,18.4,,,basketball-reference
2025-26,Regular Season,,Matas Buzelis,,,,10.0,,,,281.0,,,,,,,,,,,,0.596,20.9,,,basketball-reference
2025-26,Regular Season,,Russell Westbrook,,,,10.0,,,,280.0,,,,,,,,,,,,0.583,23.7,,,basketball-reference
2025-26,Regular Season,,Christian Braun,,,,9.0,,,,280.0,,,,,,,,,,,,0.54,16.9,,,basketball-reference
2025-26,Regular Season,,Santi Aldama,,,,11.0,,,,279.0,,,,,,,,,,,,0.515,21.6,,,basketball-reference
2025-26,Regular Season,,Nickeil Alexander-Walker,,,,9.0,,,,278.0,,,,,,,,,,,,0.57,24.6,,,basketball-reference
2025-26,Regular Season,,Jaylen Wells,,,,11.0,,,,276.0,,,,,,,,,,,,0.448,18.5,,,basketball-reference
2025-26,Regular Season,,Jock Landale,,,,11.0,,,,272.0,,,,,,,,,,,,0.688,15.1,,,basketball-reference
2025-26,Regular Season,,Svi Mykhailiuk,,,,10.0,,,,272.0,,,,,,,,,,,,0.58,13.2,,,basketball-reference
2025-26,Regular Season,,Shaedon Sharpe,,,,10.0,,,,271.0,,,,,,,,,,,,0.516,31.9,,,basketball-reference
2025-26,Regular Season,,Kentavious Caldwell-Pope,,,,11.0,,,,270.0,,,,,,,,,,,,0.493,17.9,,,basketball-reference
2025-26,Regular Season,,Naji Marshall,,,,11.0,,,,270.0,,,,,,,,,,,,0.589,16.1,,,basketball-reference
2025-26,Regular Season,,Ryan Dunn,,,,11.0,,,,268.0,,,,,,,,,,,,0.564,15.5,,,basketball-reference
2025-26,Regular Season,,Ben Sheppard,,,,10.0,,,,267.0,,,,,,,,,,,,0.415,14.1,,,basketball-reference
2025-26,Regular Season,,Ryan Kalkbrenner,,,,10.0,,,,266.0,,,,,,,,,,,,0.816,11.9,,,basketball-reference
2025-26,Regular Season,,Jamal Murray,,,,8.0,,,,265.0,,,,,,,,,,,,0.598,26.9,,,basketball-reference
2025-26,Regular Season,,Jeremiah Fears,,,,10.0,,,,264.0,,,,,,,,,,,,0.511,25.6,,,basketball-reference
2025-26,Regular Season,,Collin Gillespie,,,,11.0,,,,263.0,,,,,,,,,,,,0.545,18.7,,,basketball-reference
2025-26,Regular Season,,Terance Mann,,,,10.0,,,,263.0,,,,,,,,,,,,0.6,14.2,,,basketball-reference
2025-26,Regular Season,,Jabari Smith Jr.,,,,8.0,,,,263.0,,,,,,,,,,,,0.564,17.0,,,basketball-reference
2025-26,Regular Season,,Neemias Queta,,,,11.0,,,,262.0,,,,,,,,,,,,0.642,13.8,,,basketball-reference
2025-26,Regular Season,,Kris Dunn,,,,10.0,,,,260.0,,,,,,,,,,,,0.613,13.0,,,basketball-reference
2025-26,Regular Season,,Kevin Huerter,,,,10.0,,,,260.0,,,,,,,,,,,,0.621,21.0,,,basketball-reference
2025-26,Regular Season,,Luka Dončić,,,,7.0,,,,260.0,,,,,,,,,,,,0.628,38.6,,,basketball-reference
2025-26,Regular Season,,Naz Reid,,,,11.0,,,,259.0,,,,,,,,,,,,0.52,21.2,,,basketball-reference
2025-26,Regular Season,,Marcus Smart,,,,9.0,,,,259.0,,,,,,,,,,,,0.574,16.6,,,basketball-reference
2025-26,Regular Season,,Saddiq Bey,,,,10.0,,,,257.0,,,,,,,,,,,,0.564,17.4,,,basketball-reference
2025-26,Regular Season,,Ron Holland,,,,11.0,,,,256.0,,,,,,,,,,,,0.524,18.4,,,basketball-reference
2025-26,Regular Season,,John Collins,,,,10.0,,,,253.0,,,,,,,,,,,,0.617,22.0,,,basketball-reference
2025-26,Regular Season,,Derrick Jones Jr.,,,,10.0,,,,253.0,,,,,,,,,,,,0.694,14.5,,,basketball-reference
2025-26,Regular Season,,Sion James,,,,10.0,,,,252.0,,,,,,,,,,,,0.775,10.9,,,basketball-reference
2025-26,Regular Season,,Mark Williams,,,,10.0,,,,251.0,,,,,,,,,,,,0.638,16.8,,,basketball-reference
2025-26,Regular Season,,Sam Hauser,,,,11.0,,,,250.0,,,,,,,,,,,,0.508,15.3,,,basketball-reference
2025-26,Regular Season,,Kyle Kuzma,,,,10.0,,,,250.0,,,,,,,,,,,,0.649,20.2,,,basketball-reference
