season,season_type,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,source
2025-26,Regular Season,,Jamal Murray,,,,7.0,,,,234.0,,,,,,,,,,,,0.571,27.5,,,basketball-reference
2025-26,Regular Season,,Jaime Jaquez Jr.,,,,8.0,,,,233.0,,,,,,,,,,,,0.661,21.3,,,basketball-reference
2025-26,Regular Season,,Herbert Jones,,,,8.0,,,,233.0,,,,,,,,,,,,0.557,15.4,,,basketball-reference
2025-26,Regular Season,,Onyeka Okongwu,,,,8.0,,,,233.0,,,,,,,,,,,,0.626,17.5,,,basketball-reference
2025-26,Regular Season,,Desmond Bane,,,,8.0,,,,232.0,,,,,,,,,,,,0.511,22.7,,,basketball-reference
2025-26,Regular Season,,Nic Claxton,,,,8.0,,,,230.0,,,,,,,,,,,,0.623,18.5,,,basketball-reference
2025-26,Regular Season,,Gary Trent Jr.,,,,8.0,,,,230.0,,,,,,,,,,,,0.564,17.8,,,basketball-reference
2025-26,Regular Season,,Ivica Zubac,,,,8.0,,,,230.0,,,,,,,,,,,,0.624,20.5,,,basketball-reference
2025-26,Regular Season,,Russell Westbrook,,,,8.0,,,,229.0,,,,,,,,,,,,0.579,23.0,,,basketball-reference
2025-26,Regular Season,,Stephon Castle,,,,7.0,,,,229.0,,,,,,,,,,,,0.618,27.1,,,basketball-reference
2025-26,Regular Season,,Jaylen Wells,,,,9.0,,,,228.0,,,,,,,,,,,,0.431,18.3,,,basketball-reference
2025-26,Regular Season,,Myles Turner,,,,8.0,,,,227.0,,,,,,,,,,,,0.518,16.7,,,basketball-reference
2025-26,Regular Season,,Michael Porter Jr.,,,,7.0,,,,227.0,,,,,,,,,,,,0.57,28.3,,,basketball-reference
2025-26,Regular Season,,Wendell Carter Jr.,,,,8.0,,,,226.0,,,,,,,,,,,,0.637,15.2,,,basketball-reference
